x0,x1,x2,t
10,10,10,0
10,10.17,10.0733,0.001
10.0017,10.3391,10.1481,0.002
10.0051,10.5073,10.2244,0.003
10.0101,10.6746,10.3022,0.004
10.0167,10.8411,10.3816,0.005
10.025,11.0068,10.4625,0.006
10.0348,11.1716,10.5449,0.007
10.0462,11.3356,10.6288,0.008
10.0591,11.4987,10.7143,0.009
10.0735,11.6611,10.8014,0.01
10.0893,11.8227,10.89,0.011
10.1067,11.9835,10.9802,0.012
10.1254,12.1435,11.072,0.013
10.1456,12.3028,11.1654,0.014
10.1672,12.4613,11.2604,0.015
10.1901,12.619,11.357,0.016
10.2144,12.776,11.4553,0.017
10.24,12.9322,11.5552,0.018
10.267,13.0877,11.6568,0.019
10.2952,13.2424,11.7601,0.02
10.3246,13.3963,11.865,0.021
10.3554,13.5495,11.9716,0.022
10.3873,13.702,12.08,0.023
10.4204,13.8536,12.19,0.024
10.4548,14.0045,12.3018,0.025
10.4903,14.1546,12.4154,0.026
10.5269,14.304,12.5308,0.027
10.5647,14.4525,12.6479,0.028
10.6036,14.6002,12.7668,0.029
10.6435,14.7472,12.8875,0.03
10.6846,14.8933,13.0101,0.031
10.7267,15.0385,13.1345,0.032
10.7698,15.183,13.2607,0.033
10.8139,15.3265,13.3888,0.034
10.859,15.4692,13.5188,0.035
10.9051,15.611,13.6507,0.036
10.9522,15.7518,13.7845,0.037
11.0002,15.8918,13.9202,0.038
11.0491,16.0308,14.0578,0.039
11.0989,16.1688,14.1974,0.04
11.1496,16.3058,14.339,0.041
11.2012,16.4418,14.4825,0.042
11.2536,16.5768,14.628,0.043
11.3068,16.7107,14.7755,0.044
11.3609,16.8435,14.925,0.045
11.4157,16.9752,15.0765,0.046
11.4713,17.1058,15.23,0.047
11.5276,17.2352,15.3856,0.048
11.5847,17.3633,15.5432,0.049
11.6425,17.4903,15.7028,0.05
11.701,17.616,15.8645,0.051
11.7601,17.7403,16.0283,0.052
11.8199,17.8634,16.1941,0.053
11.8804,17.9851,16.362,0.054
11.9414,18.1054,16.532,0.055
12.003,18.2242,16.7041,0.056
12.0653,18.3416,16.8782,0.057
12.128,18.4574,17.0545,0.058
12.1913,18.5717,17.2328,0.059
12.2551,18.6844,17.4132,0.06
12.3194,18.7954,17.5957,0.061
12.3842,18.9048,17.7802,0.062
12.4494,19.0125,17.9669,0.063
12.515,19.1184,18.1556,0.064
12.581,19.2225,18.3464,0.065
12.6475,19.3247,18.5393,0.066
12.7142,19.425,18.7342,0.067
12.7813,19.5234,18.9311,0.068
12.8488,19.6198,19.1301,0.069
12.9165,19.7141,19.3311,0.07
12.9844,19.8064,19.5341,0.071
13.0527,19.8965,19.7392,0.072
13.1211,19.9844,19.9462,0.073
13.1897,20.0701,20.1551,0.074
13.2585,20.1535,20.366,0.075
13.3275,20.2346,20.5789,0.076
13.3966,20.3133,20.7936,0.077
13.4657,20.3895,21.0102,0.078
13.535,20.4632,21.2287,0.079
13.6042,20.5344,21.4489,0.08
13.6735,20.603,21.671,0.081
13.7428,20.6689,21.8949,0.082
13.8121,20.7322,22.1205,0.083
13.8813,20.7926,22.3478,0.084
13.9504,20.8503,22.5767,0.085
14.0194,20.9051,22.8073,0.086
14.0883,20.957,23.0395,0.087
14.157,21.0059,23.2732,0.088
14.2254,21.0519,23.5085,0.089
14.2937,21.0947,23.7452,0.09
14.3617,21.1344,23.9833,0.091
14.4294,21.171,24.2228,0.092
14.4969,21.2043,24.4636,0.093
14.5639,21.2344,24.7057,0.094
14.6306,21.2611,24.949,0.095
14.6969,21.2845,25.1934,0.096
14.7628,21.3044,25.439,0.097
14.8282,21.321,25.6856,0.098
